#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-03-29T14:50:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6061e8d27096	
#INFO	-out.max=unlimited	
#INFO	queryParameters=23	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:J/ApJS/211/24&tab:{J/ApJS/211/24/table1}&key:source=J/ApJS/211/24/table1&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/211/24/table1
#-order=I
#-out=KIC
#-out=Teff
#-out=log(g)
#-out=Mass
#-out=Prot
#-out=e_Prot
#-out=n_Prot
#-out=Rper
#-out=LPH
#-out=w
#-out=Ref
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_22110024
#Name: J/ApJS/211/24
#Title: Rotation periods of Kepler MS stars (McQuillan+, 2014)
#Table	J_ApJS_211_24_table1:
#Name: J/ApJS/211/24/table1
#Title: The rotation period measurements for the 34030 stars presented in this work
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	KIC	(I8)	Kepler Input Catalog identifier (Cat. V/133)	[ucd=meta.id;meta.main]
#Column	Teff	(I4)	[3197/6499] Star effective temperature	[ucd=phys.temperature.effective]
#Column	log(g)	(F5.2)	[3.5/5.4] Star surface gravity (log)	[ucd=phot.sb]
#Column	Mass	(F7.4)	[0.2/1.3] Star mass (1)	[ucd=phys.mass]
#Column	Prot	(F6.3)	[0.2/70]? Rotation period	[ucd=time.period]
#Column	e_Prot	(F6.3)	[0/51]? Error in Prot	[ucd=stat.error]
#Column	n_Prot	(A3)	Period flag (4)	[ucd=meta.note]
#Column	Rper	(F10.2)	[187/1520000]? Average variability amplitude within 1 period	[ucd=phot.mag;arith.ratio]
#Column	LPH	(F6.3)	[0.01/1.82]? Local Peak Height of the autocorrelation function (ACF)	[ucd=stat.fit.param]
#Column	w	(F7.4)	[0/1]? Assigned weight (2)	[ucd=stat.weight;phys.atmol.weight]
#Column	Ref	(I1)	? T_eff_ and log(g) source flag (3) [NULL integer written as an empty string]	[ucd=meta.bib]
#Column	_RA	(F9.5)	Positions from Kepler Input Catalog (Cat. V/133) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Kepler Input Catalog (Cat. V/133) (declination part)	[ucd=pos.eq.dec;meta.main]
_RAJ2000;_DEJ2000;KIC;Teff;log(g);Mass;Prot;e_Prot;n_Prot;Rper;LPH;w;Ref;_RA;_DE
291.2958100;+37.1558611; 1572802;3878; 4.73; 0.4950; 0.374; 0.004;   ;  70335.54; 1.350; 0.6488;1;291.29581;+37.15586
291.4307900;+37.1517181; 1573478;4233; 4.55; 0.6359;18.018; 0.240;   ;   9514.27; 0.988; 0.5708;0;291.43079;+37.15172
292.2015100;+37.1771389; 1577265;3898; 4.70; 0.5028;15.153; 0.123;   ;  10275.54; 0.933; 0.5224;1;292.20151;+37.17714
290.7058700;+37.2476389; 1718071;3857; 4.77; 0.4869;21.712; 0.202;   ;   5137.03; 0.555; 0.3301;1;290.70587;+37.24764
291.6206700;+37.2272800; 1721911;3705; 4.81; 0.4290;29.620; 0.124;   ;   4048.94; 0.978; 0.5906;1;291.62067;+37.22728
291.7410900;+37.2001989; 1722506;4270; 4.43; 0.6509;10.653; 0.073;   ;  32481.25; 1.633; 0.7470;0;291.74109;+37.20020
286.2529000;+37.3119581; 1849590;4070; 4.40; 0.5706;16.197; 0.121;   ;  10345.22; 1.353; 0.7215;0;286.25290;+37.31196
290.8306000;+37.3870811; 1865663;4230; 4.82; 0.6347;31.319; 0.016;   ;   9731.26; 0.789; 0.4965;0;290.83060;+37.38708
291.0271900;+37.3520889; 1866535;3754; 4.79; 0.4474;24.925; 0.378;   ;   3210.84; 0.565; 0.3473;1;291.02719;+37.35209
291.1322900;+37.3599889; 1866924;4117; 4.58; 0.5894;27.240; 0.277;   ;   7349.79; 0.839; 0.5531;0;291.13229;+37.35999
291.1479200;+37.3166689; 1866986;3832; 4.52; 0.4772;37.348; 0.182;   ;   8532.76; 0.942; 0.5146;0;291.14792;+37.31667
291.2400200;+37.3315889; 1867358;3625; 4.82; 0.3993;32.879; 0.735;   ;   4835.13; 0.448; 0.2970;1;291.24002;+37.33159
291.5277100;+37.3006400; 1868579;4069; 4.67; 0.5702;38.173; 0.377;   ;   5494.77; 0.535; 0.3431;0;291.52771;+37.30064
292.0275600;+37.3790819; 1870952;3888; 4.73; 0.4989;24.278; 0.273;   ;   8661.33; 1.033; 0.6339;1;292.02756;+37.37908
292.0591400;+37.3117100; 1871120;4011; 4.72; 0.5472;37.851; 0.463;   ;   5451.74; 1.004; 0.5253;0;292.05914;+37.31171
292.4404000;+37.3465119; 1872885;3688; 4.32; 0.4226; 1.872; 0.003;   ;  60773.37; 1.512; 0.7115;0;292.44040;+37.34651
292.5816000;+37.3246800; 1873523;3934; 4.72; 0.5169;20.429; 0.441;   ;   6629.11; 0.989; 0.5791;1;292.58160;+37.32468
292.5845600;+37.3954700; 1873543;3702; 4.52; 0.4279;11.548; 0.112;   ;  12257.75; 0.953; 0.5216;0;292.58456;+37.39547
286.4544400;+37.4070589; 1996574;4132; 4.59; 0.5954;20.480; 0.225;   ;   3632.31; 0.449; 0.2564;0;286.45444;+37.40706
290.5341800;+37.4024511; 2010738;4067; 4.55; 0.5694;26.741; 0.105;   ;   9747.68; 1.023; 0.5969;0;290.53418;+37.40245
291.0151100;+37.4147189; 2012731;3471; 4.98; 0.3441;36.258; 0.238;   ;   9061.60; 0.804; 0.5086;1;291.01511;+37.41472
291.2257100;+37.4717789; 2013627;4084; 4.57; 0.5762;13.960; 0.328;   ;   4507.06; 1.214; 0.6601;0;291.22571;+37.47178
291.2543300;+37.4432411; 2013754;4280; 4.57; 0.6549; 4.900; 0.003;   ;  14074.56; 1.529; 0.7527;0;291.25433;+37.44324
291.3635600;+37.4902381; 2014203;4202; 4.57; 0.6235;10.796; 0.237;   ;  17550.83; 1.467; 0.7634;0;291.36356;+37.49024
291.7081600;+37.4659881; 2015703;4313; 4.63; 0.6682;22.448; 0.052;   ;  12041.84; 0.993; 0.6111;0;291.70816;+37.46599
291.7265600;+37.4922100; 2015767;4078; 4.53; 0.5738;18.502; 0.208;   ;   6944.72; 0.772; 0.4547;0;291.72656;+37.49221
291.9889800;+37.4532511; 2016979;4368; 4.69; 0.6904;17.253; 0.236;SM1;   7871.45; 0.782; 0.4500;0;291.98898;+37.45325
292.1471300;+37.4714581; 2017692;4250; 4.62; 0.6428;11.431; 0.114;   ;  22345.13; 1.370; 0.7260;0;292.14713;+37.47146
292.3118900;+37.4477311; 2018383;4267; 4.46; 0.6496;30.372; 0.588;   ;   6466.69; 0.567; 0.3824;0;292.31189;+37.44773
292.7044400;+37.4596789; 2020185;4289; 4.65; 0.6585;21.537; 0.100;   ;  14884.95; 1.117; 0.6499;0;292.70444;+37.45968
292.7926300;+37.4148789; 2020638;4337; 4.70; 0.6779;18.350; 0.058;   ;   9859.50; 0.780; 0.4541;0;292.79263;+37.41488
286.0898400;+37.5929111; 2140909;4139; 4.80; 0.5982;38.622; 0.379;   ;   5515.64; 0.643; 0.3873;0;286.08984;+37.59291
286.5742200;+37.5170711; 2142372;3705; 4.81; 0.4290;18.641; 0.020;   ;   7038.35; 0.834; 0.4834;1;286.57422;+37.51707
286.6002200;+37.5276989; 2142451;3482; 4.86; 0.3480;33.671; 0.692;   ;   4652.62; 0.431; 0.2836;1;286.60022;+37.52770
290.4932600;+37.5439611; 2156061;4085; 4.45; 0.5766;30.030; 1.253;   ;   6833.05; 0.801; 0.5163;0;290.49326;+37.54396
290.6514600;+37.5630111; 2156718;4176; 4.51; 0.6130;21.665; 0.349;   ;   5622.15; 0.536; 0.3181;0;290.65146;+37.56301
290.8003200;+37.5178911; 2157356;3650; 4.87; 0.4085;13.607; 0.046;   ;  16120.61; 1.430; 0.7363;1;290.80032;+37.51789
291.4342700;+37.5186389; 2160105;4352; 4.66; 0.6840;17.089; 0.930;   ;  10373.06; 1.250; 0.7004;0;291.43427;+37.51864
291.7324500;+37.5182111; 2161569;4303; 4.48; 0.6642;21.366; 0.083;   ;   6616.18; 0.865; 0.5207;0;291.73245;+37.51821
292.0413500;+37.5967219; 2162907;3830; 4.74; 0.4765;26.500; 0.104;SM1;   8300.13; 0.991; 0.6096;1;292.04135;+37.59672
292.0766600;+37.5977400; 2163101;4112; 4.64; 0.5874;25.637; 0.133;   ;  10294.08; 1.146; 0.6238;0;292.07666;+37.59774
292.1754800;+37.5587811; 2163610;3913; 4.71; 0.5086;42.246; 0.189;   ;   6033.87; 0.439; 0.2603;1;292.17548;+37.55878
292.1789200;+37.5145911; 2163634;4371; 4.41; 0.6916;30.462; 0.338;   ;   3745.70; 0.723; 0.4861;0;292.17892;+37.51459
293.0539900;+37.5588911; 2167693;3766; 4.76; 0.4520;17.575; 0.079;   ;   6583.63; 0.923; 0.5253;1;293.05399;+37.55889
285.8824200;+37.6411289; 2282712;3451; 4.92; 0.3372;20.167; 0.350;   ;  13719.32; 1.508; 0.7441;1;285.88242;+37.64113
285.9678600;+37.6146389; 2282944;4312; 4.55; 0.6678;32.307; 0.497;   ;   5044.58; 0.533; 0.3713;0;285.96786;+37.61464
286.8385000;+37.6966900; 2285598;3951; 4.49; 0.5235;37.057; 0.362;   ;   3207.33; 0.759; 0.4478;0;286.83850;+37.69669
290.7901300;+37.6610300; 2300039;3402; 4.91; 0.3203; 1.712; 0.006;   ;  11605.98; 1.184; 0.5979;1;290.79013;+37.66103
290.8765600;+37.6312711; 2300440;4302; 4.60; 0.6638;21.326; 0.081;   ;   9261.61; 1.043; 0.6313;0;290.87656;+37.63127
291.2124900;+37.6170500; 2301872;3968; 4.42; 0.5302;22.888; 0.056;   ;   1749.22; 0.734; 0.4490;0;291.21249;+37.61705
291.4244100;+37.6302989; 2302851;3984; 4.47; 0.5365;12.217; 0.032;   ;  11818.05; 1.183; 0.6298;0;291.42441;+37.63030
291.4549000;+37.6771200; 2302997;3933; 4.73; 0.5165;25.602; 0.140;   ;  13484.90; 0.997; 0.6112;1;291.45490;+37.67712
292.0688800;+37.6858411; 2305760;4248; 4.69; 0.6420;19.570; 1.410;   ;   4208.39; 0.694; 0.4102;0;292.06888;+37.68584
292.7974200;+37.6907881; 2309152;3938; 4.72; 0.5184;31.901; 0.317;   ;   5630.91; 0.620; 0.4347;1;292.79742;+37.69079
293.3920300;+37.6746481; 2311842;4379; 4.56; 0.6949;19.754; 0.161;   ;   9430.35; 1.119; 0.6656;0;293.39203;+37.67465
286.3728900;+37.7112881; 2423549;3730; 4.82; 0.4384;39.804; 0.618;   ;   7082.88; 0.649; 0.3987;1;286.37289;+37.71129
286.7657500;+37.7409711; 2424688;3956; 4.73; 0.5255;11.095; 0.037;   ;  36050.62; 1.433; 0.7430;1;286.76575;+37.74097
290.0639000;+37.7911611; 2435893;3903; 4.70; 0.5047;41.146; 0.424;   ;   4255.18; 0.480; 0.2916;1;290.06390;+37.79116
290.1658900;+37.7317089; 2436635;4398; 4.57; 0.7025; 1.175; 0.004;   ; 108038.43; 1.675; 0.7984;0;290.16589;+37.73171
290.2143200;+37.7780111; 2437270;4242; 4.54; 0.6396;23.778; 0.302;   ;   3232.09; 0.648; 0.3988;0;290.21432;+37.77801
290.2180800;+37.7640689; 2437317;4250; 4.70; 0.6428;36.913; 0.281;   ;  33479.78; 1.129; 0.5586;0;290.21808;+37.76407
290.2850600;+37.7486189; 2438151;4403; 4.58; 0.7046;49.379; 0.405;   ; 198439.06; 1.283; 0.5765;0;290.28506;+37.74862
290.9990500;+37.7285389; 2441409;4312; 4.62; 0.6678;25.364; 0.075;   ;  14559.18; 1.122; 0.6131;0;290.99905;+37.72854
291.0354600;+37.7880289; 2441562;3617; 4.87; 0.3964;10.104; 0.005;   ;  19611.00; 1.571; 0.7861;1;291.03546;+37.78803
291.1143200;+37.7548600; 2441891;3744; 4.79; 0.4437;15.472; 0.018;   ;   8800.57; 1.396; 0.7421;1;291.11432;+37.75486
291.1384600;+37.7914011; 2441989;4223; 4.73; 0.6319;38.393; 0.273;   ;  12791.87; 1.125; 0.5539;0;291.13846;+37.79140
291.1416000;+37.7655489; 2442004;3975; 4.70; 0.5330; 8.865; 0.059;   ;  50063.28; 1.562; 0.7790;1;291.14160;+37.76555
291.3353300;+37.7039600; 2442866;4344; 4.49; 0.6807; 2.934; 0.021;   ;  75486.54; 1.644; 0.7987;0;291.33533;+37.70396
291.3741800;+37.7116811; 2443037;4343; 4.37; 0.6803;11.652; 0.048;   ;   8457.66; 1.047; 0.5662;0;291.37418;+37.71168
291.4526400;+37.7401619; 2443364;4013; 4.23; 0.5480;35.915; 0.628;   ;   3225.39; 0.374; 0.2705;0;291.45264;+37.74016
291.5785200;+37.7499500; 2443935;3862; 4.74; 0.4888;34.068; 0.699;   ;   6409.76; 0.969; 0.5384;1;291.57852;+37.74995
291.6828600;+37.7463419; 2444406;4195; 4.58; 0.6206;16.625; 0.151;   ;   4497.38; 1.056; 0.5989;0;291.68286;+37.74634
291.9918500;+37.7661289; 2445782;4220; 4.71; 0.6307;27.609; 0.139;   ;  11710.82; 1.093; 0.5961;0;291.99185;+37.76613
292.2272900;+37.7259789; 2446934;3774; 4.78; 0.4550;26.101; 0.179;   ;   5338.19; 0.675; 0.4242;1;292.22729;+37.72598
292.5168200;+37.7666589; 2448311;4254; 4.66; 0.6444;24.021; 0.101;   ;  14975.31; 1.202; 0.6368;0;292.51682;+37.76666
292.6691300;+37.7729681; 2448958;4157; 4.58; 0.6054;23.051; 0.162;SM1;   5956.86; 1.049; 0.6324;0;292.66913;+37.77297
285.9842500;+37.8788600; 2554730;3389; 4.93; 0.3159;45.962; 0.341;   ;  11848.81; 0.920; 0.5018;1;285.98425;+37.87886
286.2276900;+37.8522300; 2555523;3869; 4.75; 0.4915;26.121; 0.156;   ;   4172.41; 0.680; 0.4303;1;286.22769;+37.85223
286.8191500;+37.8590089; 2557350;3627; 4.86; 0.4001;18.979; 0.072;   ;   8548.20; 1.028; 0.5792;1;286.81915;+37.85901
286.9198300;+37.8781589; 2557669;3672; 4.83; 0.4167; 1.864; 0.003;   ;  34378.50; 1.211; 0.6054;1;286.91983;+37.87816
287.1181600;+37.8005100; 2558314;4052; 4.70; 0.5634;27.590; 0.145;   ;   7366.96; 1.048; 0.5950;0;287.11816;+37.80051
290.0103500;+37.8801500; 2568503;4099; 4.36; 0.5822;34.241; 0.222;   ;   4444.90; 0.504; 0.3682;0;290.01035;+37.88015
290.2601000;+37.8006900; 2570277;3836; 4.65; 0.4788;45.990; 0.937;   ;   2713.74; 0.539; 0.2970;0;290.26010;+37.80069
290.3433800;+37.8415181; 2570846;3781; 4.75; 0.4577;10.913; 0.034;   ;  37038.12; 1.518; 0.7768;1;290.34338;+37.84152
290.6837200;+37.8368611; 2572352;4342; 4.69; 0.6799;39.222; 7.596;   ;   4473.66; 0.487; 0.3073;0;290.68372;+37.83686
291.0678400;+37.8253211; 2574013;4220; 4.60; 0.6307;44.623; 0.334;   ;   5221.22; 0.536; 0.2965;0;291.06784;+37.82532
291.1600000;+37.8726311; 2574427;3897; 4.72; 0.5024;13.635; 0.183;   ;   4970.16; 0.987; 0.5425;1;291.16000;+37.87263
291.3783000;+37.8641011; 2575433;3857; 4.74; 0.4869;15.568; 0.046;   ;   7664.14; 0.905; 0.5094;1;291.37830;+37.86410
291.5016800;+37.8634911; 2576013;4206; 4.58; 0.6251;23.532; 0.154;   ;  14099.66; 1.110; 0.6323;0;291.50168;+37.86349
291.5646100;+37.8859100; 2576328;4311; 4.60; 0.6674;11.569; 0.078;   ;  10654.69; 1.326; 0.7040;0;291.56461;+37.88591
291.7512200;+37.8381000; 2577210;4351; 4.76; 0.6836;31.136; 0.124;   ;   7808.21; 0.856; 0.5117;0;291.75122;+37.83810
291.8595900;+37.8963811; 2577743;3511; 4.06; 0.3582;32.181; 0.114;   ;  21087.56; 1.399; 0.6694;0;291.85959;+37.89638
292.6233200;+37.8793411; 2581298;3764; 4.77; 0.4512;17.539; 0.038;   ;  11052.34; 1.371; 0.7353;1;292.62332;+37.87934
292.6614700;+37.8075711; 2581444;4094; 4.55; 0.5802;11.976; 0.045;   ;  15412.99; 1.538; 0.7497;0;292.66147;+37.80757
293.1211500;+37.8636281; 2583553;4263; 4.63; 0.6480;25.117; 0.098;   ;  27525.42; 1.333; 0.6472;0;293.12115;+37.86363
293.3698400;+37.8747711; 2584692;4108; 4.47; 0.5858;42.211; 0.120;   ;   5730.57; 0.623; 0.3564;0;293.36984;+37.87477
285.7754200;+37.9227981; 2692704;3624; 4.10; 0.3990;14.903; 0.199;   ;  28900.80; 0.781; 0.4468;0;285.77542;+37.92280
285.7766700;+37.9239311; 2692708;3531; 4.05; 0.3653;29.878; 0.115;   ;  16109.70; 0.927; 0.5854;0;285.77667;+37.92393
285.7952900;+37.9423711; 2692772;3790; 4.79; 0.4611;28.030; 0.121;   ;   9140.22; 1.111; 0.6204;1;285.79529;+37.94237
286.1944000;+37.9966511; 2693993;4301; 4.66; 0.6634;23.701; 0.109;   ;  22207.62; 1.023; 0.6179;0;286.19440;+37.99665
286.3059400;+37.9774889; 2694414;4244; 4.46; 0.6404;19.741; 0.200;   ;   6301.16; 1.014; 0.5982;0;286.30594;+37.97749
286.6969300;+37.9951519; 2695622;3743; 4.79; 0.4433;16.171; 0.355;   ;   8105.28; 1.024; 0.5679;1;286.69693;+37.99515
286.7832600;+37.9541889; 2695885;3368; 4.94; 0.3088;56.728; 0.536;   ;   7657.05; 0.770; 0.4028;1;286.78326;+37.95419
290.2917500;+37.9810789; 2708172;4126; 4.58; 0.5930;38.828; 0.323;   ;   3934.68; 0.617; 0.3747;0;290.29175;+37.98108
290.4489400;+37.9887081; 2708787;4084; 4.55; 0.5762;23.830; 0.047;   ;   5631.86; 1.212; 0.6474;0;290.44894;+37.98871
291.4459800;+37.9495319; 2713086;3921; 4.72; 0.5118; 4.140; 0.003;   ; 105492.59; 1.727; 0.7861;1;291.44598;+37.94953
291.4940500;+37.9828000; 2713304;3981; 4.70; 0.5353;29.857; 0.336;   ;  23701.19; 0.966; 0.5626;1;291.49405;+37.98280
291.6440400;+37.9526711; 2714000;3777; 4.77; 0.4562;26.884; 0.189;   ;   6826.40; 0.804; 0.5090;1;291.64404;+37.95267
291.6594500;+37.9253500; 2714077;4327; 4.73; 0.6739;13.802; 0.012;   ;  15002.49; 1.222; 0.6667;0;291.65945;+37.92535
292.2688000;+37.9084819; 2716857;4248; 4.37; 0.6420; 8.698; 0.058;   ;  11920.33; 1.294; 0.6668;0;292.26880;+37.90848
292.6019600;+37.9579511; 2718397;4004; 4.47; 0.5444;22.446; 0.203;   ;   6550.76; 1.153; 0.6577;0;292.60196;+37.95795
292.6906400;+37.9659500; 2718781;4113; 4.57; 0.5878;23.378; 0.078;   ;   7644.83; 0.952; 0.5901;0;292.69064;+37.96595
292.7281200;+37.9901500; 2718935;3761; 4.80; 0.4501;33.050; 0.431;   ;   4321.93; 0.571; 0.3975;1;292.72812;+37.99015
285.8033400;+38.0281489; 2831983;4248; 4.50; 0.6420;10.039; 0.072;   ;  15085.22; 1.534; 0.7615;0;285.80334;+38.02815
285.8692000;+38.0494119; 2832175;4199; 4.49; 0.6223;18.987; 0.359;   ;   3748.03; 0.580; 0.3391;0;285.86920;+38.04941
285.9463800;+38.0731700; 2832398;3800; 4.79; 0.4650;14.707; 0.033;   ;  17057.30; 1.342; 0.7120;1;285.94638;+38.07317
286.0469100;+38.0883900; 2832720;3204; 5.13; 0.2556;24.142; 5.682;   ;  12013.49; 0.857; 0.5072;1;286.04691;+38.08839
286.0556300;+38.0171089; 2832741;4380; 4.55; 0.6953;19.892; 3.939;   ;   4008.23; 0.823; 0.4852;0;286.05563;+38.01711
286.4560500;+38.0415611; 2834075;3914; 4.73; 0.5090;37.550; 2.993;   ;   4943.01; 0.818; 0.4669;1;286.45605;+38.04156
286.6231400;+38.0803411; 2834564;3524; 4.88; 0.3628;21.875; 0.599;   ;  15657.19; 1.545; 0.7263;1;286.62314;+38.08034
286.6401100;+38.0450900; 2834612;3716; 4.81; 0.4331;13.436; 0.083;   ;  19022.58; 1.377; 0.7140;1;286.64011;+38.04509
286.6494400;+38.0690689; 2834637;3233; 5.08; 0.2647;23.227; 0.079;   ;  27652.08; 1.521; 0.7444;1;286.64944;+38.06907
286.6886300;+38.0210689; 2834754;4211; 4.41; 0.6271;27.236; 0.090;   ;  10147.87; 1.125; 0.6048;0;286.68863;+38.02107
286.6942100;+38.0152700; 2834778;3624; 4.82; 0.3990;41.079; 0.209;   ;   6183.21; 0.761; 0.4473;1;286.69421;+38.01527
286.7834800;+38.0421219; 2835051;4061; 4.33; 0.5670;39.835;11.617;   ;   2579.27; 0.435; 0.2777;0;286.78348;+38.04212
286.8552200;+38.0451011; 2835274;4078; 4.54; 0.5738;13.360; 0.049;   ;   4532.40; 1.031; 0.5686;0;286.85522;+38.04510
286.8952600;+38.0886989; 2835393;3735; 4.84; 0.4403;14.995; 0.059;   ;  14010.13; 1.245; 0.6629;1;286.89526;+38.08870
